id,name,description,explanation,categories,price
1,Catan,"Jeu de stratégie où les joueurs colonisent une île en collectant et échangeant des ressources.","À chaque tour, les joueurs lancent les dés pour produire des ressources, échangent entre eux puis construisent routes et colonies. Le premier joueur à atteindre 10 points de victoire remporte la partie.","{STRATEGY,FAMILY,RESOURCE_MANAGEMENT}",35
2,Ticket to Ride,"Jeu de stratégie accessible où les joueurs construisent des lignes de train à travers une carte.","Les joueurs collectent des cartes de wagons pour relier des villes selon des objectifs secrets. La partie se termine quand un joueur a presque épuisé ses wagons.","{FAMILY,STRATEGY}",40
3,Pandemic,"Jeu coopératif où les joueurs tentent de sauver le monde de plusieurs maladies mortelles.","Chaque joueur incarne un rôle avec des capacités spéciales. Ensemble, ils se déplacent, soignent les maladies et découvrent des remèdes avant que le temps ne manque.","{COOPERATIVE,STRATEGY}",42
4,7 Wonders,"Jeu de développement où les joueurs bâtissent une civilisation antique.","Les joueurs draftent des cartes à chaque âge pour construire bâtiments, armées et merveilles. Les points sont comptés à la fin de la partie pour déterminer le vainqueur.","{STRATEGY,DRAFT,RESOURCE_MANAGEMENT}",45
5,Azul,"Jeu abstrait de pose de tuiles inspiré de l'art portugais.","Les joueurs choisissent des tuiles depuis des fabriques pour compléter des motifs sur leur plateau. Les points sont gagnés ou perdus selon le placement.","{ABSTRACT,FAMILY}",38
6,Codenames,"Jeu d'ambiance basé sur l'association de mots en équipe.","Un maître-espion donne un indice en un mot et un nombre. Son équipe doit retrouver les bons mots sans révéler ceux de l'adversaire.","{PARTY,COOPERATIVE}",22
7,Wingspan,"Jeu de stratégie où les joueurs développent une réserve naturelle pour oiseaux.","Les joueurs jouent des cartes oiseaux en utilisant nourriture et œufs. Chaque oiseau déclenche des effets permettant d'optimiser son moteur de jeu.","{STRATEGY,RESOURCE_MANAGEMENT}",55
8,Dixit,"Jeu créatif et poétique basé sur l'interprétation d'images.","Un joueur donne un indice lié à une carte illustrée. Les autres choisissent une carte similaire et doivent deviner celle du conteur.","{PARTY,FAMILY}",32
9,Carcassonne,"Jeu de pose de tuiles où les joueurs construisent un paysage médiéval.","À son tour, un joueur pose une tuile et peut y placer un pion pour marquer des points. Les points sont comptés au fil et à la fin de la partie.","{FAMILY,STRATEGY}",30
10,Splendor,"Jeu de développement économique basé sur la collecte de gemmes.","Les joueurs récupèrent des jetons ou achètent des cartes pour obtenir des bonus permanents. Le premier à atteindre 15 points gagne.","{STRATEGY,RESOURCE_MANAGEMENT}",35
11,Terraforming Mars,"Jeu de stratégie où les joueurs transforment Mars en planète habitable.","Les joueurs jouent des cartes projets pour augmenter température, oxygène et océans. Les points sont calculés selon l'impact sur la planète.","{STRATEGY,RESOURCE_MANAGEMENT}",65
12,Love Letter,"Jeu de cartes rapide basé sur la déduction.","Les joueurs piochent et jouent une carte à chaque tour pour éliminer les adversaires. Le dernier joueur en jeu ou la carte la plus forte gagne la manche.","{CARD_GAME,PARTY}",12
13,The Crew,"Jeu de plis coopératif avec des missions à accomplir.","Les joueurs jouent des plis sans communiquer librement afin de remplir des objectifs précis. Chaque mission réussie permet de progresser.","{COOPERATIVE,CARD_GAME}",15
14,Risk,"Jeu de conquête territoriale à grande échelle.","Les joueurs déplacent leurs armées, attaquent des territoires et tentent de remplir des objectifs secrets pour gagner.","{STRATEGY}",38
15,Kingdomino,"Jeu de dominos tactique pour toute la famille.","Les joueurs choisissent des dominos représentant des terrains et les placent pour former un royaume. Les points dépendent des couronnes et des zones.","{FAMILY,ABSTRACT}",22
16,Uno,"Jeu de cartes rapide et accessible.","Les joueurs posent des cartes de même couleur ou valeur. Le premier à se débarrasser de toutes ses cartes gagne.","{CARD_GAME,PARTY}",10
17,Small World,"Jeu de conquête où les peuples fantastiques se succèdent.","Les joueurs étendent leur peuple sur la carte jusqu'à son déclin, puis en choisissent un nouveau. Les points sont gagnés à chaque tour.","{STRATEGY}",48
18,Cluedo,"Jeu d'enquête où les joueurs doivent résoudre un meurtre.","Les joueurs se déplacent dans le manoir pour faire des hypothèses. Le premier à deviner le coupable, l'arme et la pièce gagne.","{FAMILY}",28
19,Time's Up!,"Jeu d'ambiance basé sur la communication et la mémoire.","Les joueurs doivent faire deviner des personnalités en trois manches, avec des règles de plus en plus restrictives.","{PARTY}",25
20,Takenoko,"Jeu de stratégie léger où les joueurs entretiennent un jardin impérial.","Les joueurs déplacent le jardinier et le panda pour cultiver du bambou et remplir des objectifs secrets.","{FAMILY,STRATEGY}",38
21,Dominion,"Jeu de cartes stratégique centré sur la construction de deck.","Les joueurs achètent des cartes pour améliorer leur deck personnel. Chaque partie propose des cartes différentes, rendant chaque partie unique.","{STRATEGY,CARD_GAME}",40
22,Gloomhaven,"Jeu coopératif de grande ampleur mêlant aventure, tactique et narration.","Les joueurs incarnent des mercenaires et accomplissent des scénarios tactiques. Les choix ont des conséquences durables sur la campagne.","{COOPERATIVE,STRATEGY}",145
23,6 qui prend !,"Jeu de cartes simple et malin basé sur l'anticipation.","Les joueurs posent simultanément une carte numérotée. Celui qui complète une rangée récupère des points négatifs.","{CARD_GAME,FAMILY}",12
24,Brass: Birmingham,"Jeu de stratégie économique dans l'Angleterre industrielle.","Les joueurs développent industries et réseaux de transport. La victoire dépend de la gestion optimale des ressources et du timing.","{STRATEGY,RESOURCE_MANAGEMENT}",70
25,Les Aventuriers du Rail : Europe,"Version européenne du célèbre jeu de construction de chemins de fer.","Les joueurs collectent des cartes pour relier des villes européennes. Des tunnels et ferries ajoutent de nouvelles contraintes.","{FAMILY,STRATEGY}",42
26,Hanabi,"Jeu coopératif de cartes basé sur la communication limitée.","Les joueurs voient les cartes des autres mais pas les leurs. Ils doivent donner des indices pour créer un feu d'artifice parfait.","{COOPERATIVE,CARD_GAME}",12
27,Patchwork,"Jeu abstrait à deux joueurs sur la création d'une couverture.","Les joueurs choisissent des pièces à placer sur leur plateau. Les boutons servent à la fois de monnaie et de points.","{ABSTRACT,STRATEGY}",25
28,Scythe,"Jeu de stratégie se déroulant dans une Europe alternative.","Les joueurs développent leur faction par l'économie, le combat et l'expansion. Chaque décision influence le rythme de la partie.","{STRATEGY,RESOURCE_MANAGEMENT}",85
29,Just One,"Jeu d'ambiance coopératif basé sur la créativité.","Les joueurs donnent un mot-indice pour faire deviner un mot secret. Les indices identiques sont annulés.","{PARTY,COOPERATIVE}",22
30,Mysterium,"Jeu coopératif mêlant enquête et interprétation d'images.","Un joueur incarne un fantôme donnant des visions aux autres. Les enquêteurs doivent interpréter ces images pour résoudre un meurtre.","{COOPERATIVE,PARTY}",42
31,Agricola,"Jeu de gestion où les joueurs développent leur ferme.","Les joueurs placent des ouvriers pour récolter ressources et améliorer leur exploitation. La planification est essentielle.","{STRATEGY,RESOURCE_MANAGEMENT}",55
32,Exploding Kittens,"Jeu de cartes humoristique et imprévisible.","Les joueurs piochent des cartes jusqu'à tomber sur un chat explosif. Des cartes spéciales permettent d'éviter l'élimination.","{CARD_GAME,PARTY}",18
33,Santorini,"Jeu abstrait tactique basé sur la construction.","Les joueurs déplacent un ouvrier puis construisent un étage. Le premier à atteindre le sommet d'une tour gagne.","{ABSTRACT,STRATEGY}",28
34,Loup-Garou pour une Nuit,"Jeu d'ambiance basé sur le bluff et la déduction.","Chaque joueur reçoit un rôle secret. Une discussion s'engage pour identifier les loups-garous avant la fin de la nuit.","{PARTY}",15
35,Stone Age,"Jeu de gestion se déroulant à la préhistoire.","Les joueurs placent des ouvriers pour collecter ressources et développer leur tribu. Les dés influencent les récoltes.","{STRATEGY,RESOURCE_MANAGEMENT}",45
36,Dobble,"Jeu d'observation et de rapidité.","Les joueurs doivent trouver le symbole commun entre deux cartes. Le plus rapide marque des points.","{PARTY,FAMILY}",14
37,Citadelles,"Jeu de cartes stratégique basé sur des rôles secrets.","Chaque tour, les joueurs choisissent un personnage pour utiliser son pouvoir. Le but est de construire une cité avant les autres.","{STRATEGY,CARD_GAME}",22
38,Power Grid,"Jeu de stratégie économique sur la gestion d'un réseau électrique.","Les joueurs achètent des centrales et des ressources pour alimenter des villes. La planification à long terme est cruciale.","{STRATEGY,RESOURCE_MANAGEMENT}",48
39,The Mind,"Jeu coopératif minimaliste basé sur l'intuition.","Les joueurs doivent jouer des cartes dans l'ordre sans communiquer. La synchronisation mentale est essentielle.","{COOPERATIVE,CARD_GAME}",12
40,Qwirkle,"Jeu abstrait de pose de tuiles basé sur les formes et les couleurs.","Les joueurs posent des tuiles en respectant des règles de correspondance. Les lignes complètes rapportent beaucoup de points.","{ABSTRACT,FAMILY}",28
41,Everdell,"Jeu de stratégie et de gestion se déroulant dans un univers forestier.","Les joueurs développent une cité en posant des cartes bâtiments et créatures. La partie se déroule sur plusieurs saisons, chacune offrant de nouvelles opportunités.","{STRATEGY,RESOURCE_MANAGEMENT}",65
42,Saboteur,"Jeu de cartes basé sur le bluff et les rôles cachés.","Les joueurs tentent de creuser un tunnel vers un trésor, mais certains sont des saboteurs. Les actions permettent d'aider ou de bloquer les autres.","{PARTY,CARD_GAME}",12
43,Orléans,"Jeu de stratégie utilisant un système de gestion de sac.","Les joueurs recrutent des personnages pour effectuer des actions. L'ordre de sortie des jetons influence fortement la stratégie.","{STRATEGY,RESOURCE_MANAGEMENT}",55
44,Skyjo,"Jeu de cartes simple et addictif basé sur la réduction de points.","Les joueurs échangent et révèlent des cartes pour obtenir le score le plus bas possible. La manche se termine lorsqu'un joueur dévoile toutes ses cartes.","{CARD_GAME,FAMILY}",15
45,Root,"Jeu de stratégie asymétrique dans un univers animalier.","Chaque faction possède des règles et objectifs uniques. Les joueurs s'affrontent pour le contrôle de la forêt.","{STRATEGY}",75
46,Welcome,"Jeu de flip & write sur la construction de quartiers résidentiels.","Les joueurs choisissent des numéros et actions pour remplir leur feuille. Les décisions sont simultanées et demandent de l'anticipation.","{FAMILY,STRATEGY}",22
47,Five Tribes,"Jeu de stratégie tactique se déroulant dans un univers oriental.","Les joueurs déplacent des meeples pour déclencher des actions. Chaque coup modifie le plateau et crée de nouvelles opportunités.","{STRATEGY}",52
48,Jungle Speed,"Jeu d'ambiance basé sur la rapidité et les réflexes.","Les joueurs retournent des cartes et attrapent le totem lorsqu'un symbole identique apparaît. Les erreurs sont sévèrement punies.","{PARTY}",18
49,Great Western Trail,"Jeu de stratégie complexe autour de l'élevage de bétail.","Les joueurs parcourent un parcours en améliorant leur deck et leurs bâtiments. Les livraisons de bétail rapportent des points.","{STRATEGY,RESOURCE_MANAGEMENT}",65
50,The Resistance,"Jeu de déduction sociale basé sur la loyauté et le mensonge.","Les joueurs participent à des missions à succès variable. Les résistants doivent identifier les espions avant qu'ils ne sabotent tout.","{PARTY}",18
51,Jaipur,"Jeu de cartes rapide à deux joueurs basé sur le commerce.","Les joueurs échangent et vendent des marchandises pour obtenir des points. Le timing des ventes est crucial.","{CARD_GAME,STRATEGY}",18
52,Terraforming Mars: Ares Expedition,"Version condensée du jeu Terraforming Mars.","Les joueurs choisissent simultanément des phases et jouent des cartes projets. Le but est de terraformer Mars plus efficacement que les autres.","{STRATEGY,RESOURCE_MANAGEMENT}",45
53,Bang!,"Jeu de cartes à rôles cachés dans l'univers du western.","Chaque joueur incarne un rôle secret avec un objectif spécifique. Les actions consistent à attaquer ou se défendre.","{PARTY,CARD_GAME}",18
54,Cascadia,"Jeu de réflexion basé sur la création d'écosystèmes.","Les joueurs placent des tuiles habitat et des animaux pour marquer des points selon des objectifs variables.","{ABSTRACT,FAMILY}",38
55,Lost Cities,"Jeu de cartes stratégique pour deux joueurs.","Les joueurs lancent des expéditions en posant des cartes de couleur croissante. Les risques doivent être calculés.","{CARD_GAME,STRATEGY}",22
56,Concept,"Jeu d'ambiance basé sur la communication par symboles.","Les joueurs font deviner des mots ou expressions en plaçant des pions sur des icônes. La créativité est essentielle.","{PARTY}",28
57,Concordia,"Jeu de stratégie économique dans l'Antiquité.","Les joueurs utilisent des cartes actions pour développer leur réseau commercial. Les cartes servent aussi de système de scoring.","{STRATEGY,RESOURCE_MANAGEMENT}",55
58,Love Letter: Premium,"Version enrichie du jeu de déduction Love Letter.","Les joueurs tentent de transmettre une lettre en jouant des cartes à effets. La déduction et le timing sont essentiels.","{CARD_GAME,PARTY}",25
59,Survive: Escape from Atlantis,"Jeu de survie où une île est en train de sombrer.","Les joueurs déplacent leurs personnages pour les sauver, tout en sabotant les autres. Les créatures marines compliquent la tâche.","{FAMILY,STRATEGY}",42
60,Ark Nova,"Jeu de stratégie moderne sur la gestion d'un zoo.","Les joueurs construisent des enclos, accueillent des animaux et soutiennent des projets de conservation. Le score combine attractivité et écologie.","{STRATEGY,RESOURCE_MANAGEMENT}",70
61,Chinatown,"Jeu de négociation et commerce dans un quartier animé de New York.","Les joueurs achètent et vendent des propriétés et commerces. Les accords et négociations sont essentiels pour maximiser les profits.","{STRATEGY,FAMILY}",45
62,Eclipse,"Jeu de stratégie spatiale mêlant exploration et combats.","Les joueurs développent leur civilisation, explorent des systèmes et affrontent leurs adversaires dans des batailles tactiques.","{STRATEGY,RESOURCE_MANAGEMENT}",120
63,Patchwork Doodle,"Version simplifiée et rapide de Patchwork sous forme de jeu de dessin.","Les joueurs remplissent des grilles avec des formes pour créer le meilleur motif. Les choix doivent optimiser l'espace disponible.","{ABSTRACT,FAMILY}",15
64,Sheriff of Nottingham,"Jeu de bluff et négociation autour du marché médiéval.","Les joueurs déclarent des marchandises et tentent de passer des contrebandes sans se faire attraper par le shérif.","{PARTY,CARD_GAME}",32
65,Tzolk'in: The Mayan Calendar,"Jeu de stratégie avec mécanisme d'engrenages représentant le calendrier maya.","Les joueurs placent des ouvriers sur les engrenages pour récolter ressources et développer leur civilisation. Le timing est crucial.","{STRATEGY,RESOURCE_MANAGEMENT}",55
66,Alhambra,"Jeu de construction et de placement de tuiles dans le cadre d'un palais.","Les joueurs achètent des tuiles pour compléter leur Alhambra. Les points dépendent de la diversité et la taille des bâtiments.","{STRATEGY,FAMILY}",35
67,Funkoverse,"Jeu de figurines tactique rapide basé sur des personnages connus.","Les joueurs déplacent leurs figurines pour accomplir des objectifs sur des scénarios courts. Chaque personnage possède des capacités uniques.","{STRATEGY,PARTY}",35
68,Heaven & Ale,"Jeu de stratégie et placement d'ouvriers dans le contexte d'une brasserie.","Les joueurs placent des ouvriers pour collecter ingrédients, construire et produire de la bière. La planification est essentielle pour optimiser le rendement.","{STRATEGY,RESOURCE_MANAGEMENT}",48
69,Camel Up,"Jeu de course et paris humoristique avec des chameaux.","Les joueurs parient sur les chameaux et influencent leur avancée. Le hasard et la stratégie se combinent pour gagner des points.","{FAMILY,PARTY}",42
70,Tigris & Euphrates,"Jeu de stratégie abstrait sur le développement de civilisations.","Les joueurs placent des tuiles pour étendre leur royaume et gérer conflits. La maîtrise des différentes sphères est essentielle pour marquer des points.","{ABSTRACT,STRATEGY}",48
71,Through the Ages: A New Story of Civilization,"Jeu de civilisation complexe avec gestion de ressources et technologies.","Les joueurs développent leur civilisation en choisissant leaders, technologies et constructions. L'équilibre entre ressources et expansion est crucial.","{STRATEGY,RESOURCE_MANAGEMENT}",75
72,Obsession,"Jeu de stratégie sur la gestion de domaine aristocratique anglais.","Les joueurs gèrent ressources, invités et bâtiments pour obtenir la meilleure influence et prestige. La planification à long terme est clé.","{STRATEGY,RESOURCE_MANAGEMENT}",65
73,Azul: Summer Pavilion,"Extension et variante d'Azul avec de nouveaux motifs et stratégies.","Les joueurs posent des tuiles sur leur plateau pour compléter des motifs colorés. Le placement optimal rapporte le plus de points.","{ABSTRACT,FAMILY}",42
74,Kemet,"Jeu de stratégie et de conquête dans l'Égypte antique.","Les joueurs déplacent armées et utilisent pouvoirs divins pour contrôler les territoires. La planification militaire est essentielle.","{STRATEGY}",70
75,Caylus,"Jeu de stratégie médiéval basé sur le placement d'ouvriers.","Les joueurs placent des ouvriers pour collecter ressources et construire des bâtiments. La gestion du château influence les actions disponibles.","{STRATEGY,RESOURCE_MANAGEMENT}",48
76,Bang! The Dice Game,"Version rapide de Bang! avec dés et rôles cachés.","Les joueurs lancent des dés pour attaquer ou se défendre selon leur rôle. Le hasard et la stratégie influencent le déroulement.","{PARTY,CARD_GAME}",18
77,Oriflamme,"Jeu de placement de cartes tactique et stratégique.","Les joueurs placent des cartes sur le plateau pour obtenir le contrôle et des points. Chaque placement influence les choix suivants.","{STRATEGY,CARD_GAME}",15
78,Everdell: Pearlbrook,"Extension d'Everdell introduisant un nouveau plateau aquatique.","Les joueurs exploitent de nouvelles ressources et cartes pour améliorer leur cité. Les choix stratégiques sont enrichis par l'eau et les créatures.","{STRATEGY,RESOURCE_MANAGEMENT}",45
79,Shadows over Camelot,"Jeu coopératif avec un traître secret dans la légende arthurienne.","Les joueurs accomplissent des quêtes pour défendre Camelot. Si le traître sabote, il faudra redoubler d'efforts pour réussir.","{COOPERATIVE,PARTY}",55
80,Memoir '44,"Jeu de stratégie historique simulant des batailles de la Seconde Guerre mondiale.","Les joueurs commandent des armées sur différents scénarios. Le placement et le timing des unités sont déterminants pour la victoire.","{STRATEGY}",55
81,Spirit Island,"Jeu coopératif où des esprits défendent leur île contre des colonisateurs.","Chaque esprit possède des pouvoirs uniques. Les joueurs doivent coordonner leurs actions pour repousser les envahisseurs avant qu'ils ne détruisent l'île.","{COOPERATIVE,STRATEGY}",80
82,Viticulture,"Jeu de gestion où les joueurs développent un vignoble en Toscane.","Les joueurs plantent des vignes, récoltent des raisins et produisent du vin. La planification saisonnière est essentielle pour prospérer.","{STRATEGY,RESOURCE_MANAGEMENT}",55
83,Clank!,"Jeu de deck-building et d'exploration de donjon.","Les joueurs s'aventurent dans un donjon pour voler des trésors. Chaque bruit attire l'attention du dragon, rendant l'exploration risquée.","{STRATEGY,ADVENTURE}",55
84,Quacks of Quedlinburg,"Jeu de push-your-luck où les joueurs préparent des potions.","Les joueurs piochent des ingrédients pour améliorer leur potion. Trop d'ingrédients dangereux font exploser le chaudron.","{FAMILY,STRATEGY}",42
85,Pandemic Legacy: Season 1,"Version campagne de Pandemic avec des éléments narratifs permanents.","Les joueurs vivent une année de pandémie où chaque partie modifie le plateau et les règles. Les choix ont des conséquences durables.","{COOPERATIVE,STRATEGY}",75
86,Blood Rage,"Jeu de stratégie viking mêlant draft, combat et mythologie nordique.","Les joueurs contrôlent des clans vikings et cherchent la gloire avant le Ragnarök. Mourir au combat peut rapporter des points.","{STRATEGY,DRAFT}",85
87,Betrayal at House on the Hill,"Jeu d'exploration d'une maison hantée avec un traître caché.","Les joueurs explorent une maison tuile par tuile jusqu'à ce qu'un événement déclenche la trahison. Le traître révélé change les règles du jeu.","{ADVENTURE,COOPERATIVE}",55
88,Sushi Go Party!,"Version étendue du jeu de draft rapide Sushi Go.","Les joueurs draftent des cartes sushi pour créer les meilleures combinaisons. Chaque partie peut être personnalisée avec différents menus.","{CARD_GAME,DRAFT,FAMILY}",25
89,Dune: Imperium,"Jeu de deck-building et placement d'ouvriers dans l'univers de Dune.","Les joueurs développent leur influence sur Arrakis en combinant cartes et actions. Le contrôle de l'épice est crucial pour la victoire.","{STRATEGY,RESOURCE_MANAGEMENT}",60
90,Puerto Rico,"Jeu classique de gestion économique et de rôles variables.","Les joueurs choisissent des rôles pour produire et expédier des marchandises. Chaque choix bénéficie à tous mais avantage celui qui l'a fait.","{STRATEGY,RESOURCE_MANAGEMENT}",45
91,Nemesis,"Jeu de survie spatial inspiré des films Alien.","Les joueurs explorent un vaisseau infesté d'aliens avec des objectifs secrets. La coopération est fragile car chacun peut trahir les autres.","{ADVENTURE,COOPERATIVE}",150
92,Century: Spice Road,"Jeu de commerce et de conversion de ressources simple et élégant.","Les joueurs collectent et transforment des épices pour remplir des commandes. Le moteur de jeu s'optimise au fil des tours.","{STRATEGY,FAMILY}",35
93,Photosynthesis,"Jeu abstrait où les arbres luttent pour la lumière du soleil.","Les joueurs plantent et font grandir des arbres pour collecter des points de lumière. Les arbres projettent des ombres qui bloquent les autres.","{ABSTRACT,STRATEGY}",42
94,Mage Knight,"Jeu d'aventure et d'exploration complexe avec du deck-building.","Les joueurs incarnent des mages chevaliers explorant un territoire hostile. Le combat et l'exploration demandent une planification minutieuse.","{ADVENTURE,STRATEGY}",95
95,Res Arcana,"Jeu de combo de cartes compact et stratégique.","Les joueurs utilisent un petit deck pour générer des essences et activer des artefacts. Les combinaisons efficaces mènent à la victoire.","{STRATEGY,CARD_GAME}",35
96,Inis,"Jeu de stratégie celtique avec mécanisme de draft.","Les joueurs cherchent à devenir le roi de l'île par la domination territoriale, religieuse ou épique. Le draft influence les actions disponibles.","{STRATEGY,DRAFT}",55
97,Twilight Imperium (4th Edition),"Jeu épique de stratégie spatiale pour les longues sessions.","Les joueurs contrôlent des civilisations galactiques en quête de domination. Diplomatie, commerce et guerre sont tous des outils de victoire.","{STRATEGY}",165
98,Coup,"Jeu de bluff rapide avec des rôles cachés.","Les joueurs prétendent avoir certains personnages et utilisent leurs pouvoirs. Se faire attraper en train de mentir coûte une influence.","{PARTY,CARD_GAME}",12
99,Architects of the West Kingdom,"Jeu de placement d'ouvriers avec un système de capture unique.","Les joueurs construisent des bâtiments pour le roi. Les ouvriers s'accumulent mais peuvent être capturés par les adversaires.","{STRATEGY,RESOURCE_MANAGEMENT}",50
100,Calico,"Jeu de puzzle où les joueurs créent des couvertures pour attirer des chats.","Les joueurs placent des tuiles colorées pour compléter des motifs et attirer des chats. Chaque chat a ses préférences de couleurs et motifs.","{ABSTRACT,FAMILY}",35
101,Cryptid,"Jeu de déduction où les joueurs cherchent une créature mystérieuse. Jeu de l'année 2025","Chaque joueur a des indices sur l'emplacement du Cryptide. En posant des questions et en déduisant, ils tentent de localiser la créature avant les autres.","{PARTY,DEDUCTION}",35
1999,Les aventuriers du Rail : Nantes,"Version nantaise du célèbre jeu de construction de chemins de fer.","Epreuve pour réponse 1. Retour express de mon entraînement de volley à Sainte-Luce-sur-Loire, j'avais une course urgente à récupérer à la Fnac ! 20h30 : coup d'envoi des Neptunes de Nantes vs Quimper à domicile. Direction le stade en tram, mais attention – trafic chaotique ! Travaux à Tripode, Saint-Stanislas, Jean Jaurès… Toutes les lignes concernées sont bloquées, ambiance galère ! Pour clôturer cette soirée en beauté, petite virée au Hangar à Bananes. Mais bon, celui qui conduit c'est celui qui ne boit pas, donc hop, retour en tram ! En plus, c'est gratuit le week-end, la classe !","{STRATEGY,RESOURCE_MANAGEMENT,FAMILY}",45
2000,Zak & Coco sur le GR20,"La traversée de la corse","Epreuve pour réponse 2. 10 jours de randonnée sur le GR20 en Corse avec mon fidèle compagnon Coco ! 12 000 de dénivelé positif, des paysages à couper le souffle, et des moments inoubliables partagés avec des randonneurs du monde entier. 180 kilomètres de sentiers escarpés, des refuges accueillants, et la satisfaction d'avoir relevé ce défi mythique. Entre efforts physiques et émerveillement constant, cette aventure restera gravée dans ma mémoire comme l'une des plus belles expériences de ma vie. On sera content de regarder la vidéo !! Nous avons presque atteint le sommet du Monte Cinto, une vue panoramique incroyable nous attendait là-haut !","{STRATEGY,RESOURCE_MANAGEMENT,FAMILY}",35
3105,Chez zak,"C'est un jeu personnalisé","C'est un jeu que j'ai créé moi-même pour tester l'application.",{},0
